影视频道,#genre#
爱大剧,http://123.10.78.170:808/hls/101/index.m3u8?$智慧光迅听说名字越长越好看
爱大剧,http://123.10.78.27:808/hls/101/index.m3u8?$智慧光迅听说名字越长越好看
谍战剧场,http://123.10.78.170:808/hls/80/index.m3u8?$智慧光迅听说名字越长越好看
谍战剧场,http://123.10.78.27:808/hls/80/index.m3u8?$智慧光迅听说名字越长越好看
动作影院,http://123.10.78.170:808/hls/97/index.m3u8?$智慧光迅听说名字越长越好看
动作影院,http://123.10.78.27:808/hls/97/index.m3u8?$智慧光迅听说名字越长越好看
家庭影院,http://123.10.78.170:808/hls/99/index.m3u8?$智慧光迅听说名字越长越好看
家庭影院,http://123.10.78.27:808/hls/99/index.m3u8?$智慧光迅听说名字越长越好看
经典电影,http://123.10.78.170:808/hls/79/index.m3u8?$智慧光迅听说名字越长越好看
经典电影,http://123.10.78.27:808/hls/79/index.m3u8?$智慧光迅听说名字越长越好看
热播剧场,http://123.10.78.170:808/hls/82/index.m3u8?$智慧光迅听说名字越长越好看
热播剧场,http://123.10.78.27:808/hls/82/index.m3u8?$智慧光迅听说名字越长越好看
影院,http://123.10.78.170:808/hls/98/index.m3u8?$智慧光迅听说名字越长越好看
影院,http://123.10.78.27:808/hls/98/index.m3u8?$智慧光迅听说名字越长越好看
长影,http://175.16.149.197:9901/tsfile/live/0013_2.m3u8?$不见黄河心不死=txiptv&playlive=1&authid=0
